"GEOID","City","STATE_x","COUNTY_x"
"36047024300","NYC","NY","Kings"
"36047024400","NYC","NY","Kings"
"36047024500","NYC","NY","Kings"
"36047024600","NYC","NY","Kings"
"36047024700","NYC","NY","Kings"
"36047024800","NYC","NY","Kings"
"36047024900","NYC","NY","Kings"
"36047025000","NYC","NY","Kings"
"36047025100","NYC","NY","Kings"
"36047025200","NYC","NY","Kings"
"36047025300","NYC","NY","Kings"
"36047025400","NYC","NY","Kings"
"36047025500","NYC","NY","Kings"
"36047025600","NYC","NY","Kings"
"36047025700","NYC","NY","Kings"
"36047025800","NYC","NY","Kings"
"36047025901","NYC","NY","Kings"
"36047025902","NYC","NY","Kings"
"36047026000","NYC","NY","Kings"
"36047026100","NYC","NY","Kings"
"36047026200","NYC","NY","Kings"
"36047026300","NYC","NY","Kings"
"36047026400","NYC","NY","Kings"
"36047026500","NYC","NY","Kings"
"36047026600","NYC","NY","Kings"
"36047026700","NYC","NY","Kings"
"36047026800","NYC","NY","Kings"
"36047026900","NYC","NY","Kings"
"36047027000","NYC","NY","Kings"
"36047027100","NYC","NY","Kings"
"36047027200","NYC","NY","Kings"
"36047027300","NYC","NY","Kings"
"36047027400","NYC","NY","Kings"
"36047027500","NYC","NY","Kings"
"36047027600","NYC","NY","Kings"
"36047027700","NYC","NY","Kings"
"36047027800","NYC","NY","Kings"
"36047027900","NYC","NY","Kings"
"36047028000","NYC","NY","Kings"
"36047028100","NYC","NY","Kings"
"36047028200","NYC","NY","Kings"
"36047028300","NYC","NY","Kings"
"36047028400","NYC","NY","Kings"
"36047028501","NYC","NY","Kings"
"36047028502","NYC","NY","Kings"
"36047028600","NYC","NY","Kings"
"36047028700","NYC","NY","Kings"
"36047028800","NYC","NY","Kings"
"36047028900","NYC","NY","Kings"
"36047029000","NYC","NY","Kings"
"36047029100","NYC","NY","Kings"
"36047029200","NYC","NY","Kings"
"36047029300","NYC","NY","Kings"
"36047029500","NYC","NY","Kings"
"36047029600","NYC","NY","Kings"
"36047029700","NYC","NY","Kings"
"36047029800","NYC","NY","Kings"
"36047029900","NYC","NY","Kings"
"36047030000","NYC","NY","Kings"
"36047030100","NYC","NY","Kings"
"36047030300","NYC","NY","Kings"
"36047030500","NYC","NY","Kings"
"36047030700","NYC","NY","Kings"
"36047030900","NYC","NY","Kings"
"36047031100","NYC","NY","Kings"
"36047031300","NYC","NY","Kings"
"36047031500","NYC","NY","Kings"
"36047031701","NYC","NY","Kings"
"36047031702","NYC","NY","Kings"
"36047031900","NYC","NY","Kings"
"36047032100","NYC","NY","Kings"
"36047032300","NYC","NY","Kings"
"36047032500","NYC","NY","Kings"
"36047032700","NYC","NY","Kings"
"36047032900","NYC","NY","Kings"
"36047033100","NYC","NY","Kings"
"36047033300","NYC","NY","Kings"
"36047033500","NYC","NY","Kings"
"36047033700","NYC","NY","Kings"
"36047033900","NYC","NY","Kings"
"36047034100","NYC","NY","Kings"
"36047034300","NYC","NY","Kings"
"36047034500","NYC","NY","Kings"
"36047034700","NYC","NY","Kings"
"36047034900","NYC","NY","Kings"
"36047035100","NYC","NY","Kings"
"36047035300","NYC","NY","Kings"
"36047035500","NYC","NY","Kings"
"36047035700","NYC","NY","Kings"
"36047035900","NYC","NY","Kings"
"36047036100","NYC","NY","Kings"
"36047036300","NYC","NY","Kings"
"36047036501","NYC","NY","Kings"
"36047036502","NYC","NY","Kings"
"36047036700","NYC","NY","Kings"
"36047036900","NYC","NY","Kings"
"36047037100","NYC","NY","Kings"
"36047037300","NYC","NY","Kings"
"36047037500","NYC","NY","Kings"
"36047037700","NYC","NY","Kings"
"36047037900","NYC","NY","Kings"
"36047038100","NYC","NY","Kings"
"36047038300","NYC","NY","Kings"
"36047038500","NYC","NY","Kings"
"36047038700","NYC","NY","Kings"
"36047038900","NYC","NY","Kings"
"36047039100","NYC","NY","Kings"
"36047039300","NYC","NY","Kings"
"36047039400","NYC","NY","Kings"
"36047039500","NYC","NY","Kings"
"36047039600","NYC","NY","Kings"
"36047039700","NYC","NY","Kings"
"36047039900","NYC","NY","Kings"
"36047040100","NYC","NY","Kings"
"36047040300","NYC","NY","Kings"
"36047040400","NYC","NY","Kings"
"36047040500","NYC","NY","Kings"
"36047040600","NYC","NY","Kings"
"36047040700","NYC","NY","Kings"
"36047040800","NYC","NY","Kings"
"36047040900","NYC","NY","Kings"
"36047041000","NYC","NY","Kings"
"36047041100","NYC","NY","Kings"
"36047041200","NYC","NY","Kings"
"36047041300","NYC","NY","Kings"
"36047041401","NYC","NY","Kings"
"36047041402","NYC","NY","Kings"
"36047041500","NYC","NY","Kings"
"36047041600","NYC","NY","Kings"
"36047041700","NYC","NY","Kings"
"36047041800","NYC","NY","Kings"
"36047041900","NYC","NY","Kings"
"36047042000","NYC","NY","Kings"
"36047042100","NYC","NY","Kings"
"36047042200","NYC","NY","Kings"
"36047042300","NYC","NY","Kings"
"36047042400","NYC","NY","Kings"
"36047042500","NYC","NY","Kings"
"36047042600","NYC","NY","Kings"
"36047042700","NYC","NY","Kings"
"36047042800","NYC","NY","Kings"
"36047042900","NYC","NY","Kings"
"36047043000","NYC","NY","Kings"
"36047043100","NYC","NY","Kings"
"36047043200","NYC","NY","Kings"
"36047043300","NYC","NY","Kings"
"36047043400","NYC","NY","Kings"
"36047043500","NYC","NY","Kings"
"36047043600","NYC","NY","Kings"
"36047043700","NYC","NY","Kings"
"36047043800","NYC","NY","Kings"
"36047043900","NYC","NY","Kings"
"36047044000","NYC","NY","Kings"
"36047044100","NYC","NY","Kings"
"36047044200","NYC","NY","Kings"
"36047044300","NYC","NY","Kings"
"36047044400","NYC","NY","Kings"
"36047044500","NYC","NY","Kings"
"36047044600","NYC","NY","Kings"
"36047044700","NYC","NY","Kings"
"36047044800","NYC","NY","Kings"
"36047044900","NYC","NY","Kings"
"36047045000","NYC","NY","Kings"
"36047045200","NYC","NY","Kings"
"36047045300","NYC","NY","Kings"
"36047045400","NYC","NY","Kings"
"36047045600","NYC","NY","Kings"
"36047045800","NYC","NY","Kings"
"36047046000","NYC","NY","Kings"
