"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037532800",31,9,8,1,3,2,1,4,4,0,2,2,0
"LA","6037535001",6,2,2,0,1,1,0,1,1,0,0,0,0
"LA","6037535101",3,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037535102",3,1,1,0,0,0,0,1,1,0,0,0,0
"LA","6037535200",52,11,11,0,3,3,0,8,8,0,0,0,0
"LA","6037535400",43,8,8,0,4,4,0,4,4,0,0,0,0
"LA","6037535606",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037535607",3,1,1,0,0,0,0,1,1,0,0,0,0
"LA","6037540300",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037540400",15,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037540501",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037540600",23,3,3,0,1,1,0,1,1,0,1,1,0
"LA","6037540700",72,12,12,0,7,7,0,2,2,0,3,3,0
"LA","6037540901",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037540902",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037541001",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037541002",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037543306",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037543400",23,2,2,0,1,1,0,0,0,0,1,1,0
"LA","6037543501",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037543502",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037543602",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037543603",17,8,8,0,1,1,0,7,7,0,0,0,0
"LA","6037543604",29,2,2,0,0,0,0,1,1,0,1,1,0
"LA","6037543703",12,2,2,0,1,1,0,1,1,0,0,0,0
"LA","6037543905",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037573601",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037600100",82,18,18,0,11,11,0,4,4,0,3,3,0
"LA","6037600201",28,2,2,0,1,1,0,0,0,0,1,1,0
"LA","6037600202",34,6,6,0,5,5,0,1,1,0,0,0,0
"LA","6037600304",29,3,3,0,1,1,0,1,1,0,1,1,0
"LA","6037600400",5,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037600601",8,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037600702",16,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037600704",23,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037600801",29,4,4,0,1,1,0,1,1,0,2,2,0
"LA","6037600802",5,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037600912",57,10,10,0,7,7,0,1,1,0,2,2,0
"LA","6037601302",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037601401",20,3,3,0,1,1,0,1,1,0,1,1,0
"LA","6037602801",10,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037602900",2,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037603001",8,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037603101",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037603102",27,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037603200",20,3,3,0,2,2,0,1,1,0,0,0,0
"LA","6037609900",17,4,4,0,3,3,0,1,1,0,0,0,0
"LA","6037620001",4,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037650101",31,2,1,1,1,0,1,1,1,0,0,0,0
"LA","6037650200",8,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037650901",25,5,5,0,2,2,0,2,2,0,1,1,0
"LA","6037650902",7,3,3,0,0,0,0,1,1,0,2,2,0
"LA","6037670002",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037670100",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037670701",56,9,9,0,6,6,0,1,1,0,2,2,0
"LA","6037670702",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037700101",40,7,7,0,3,3,0,1,1,0,3,3,0
"LA","6037700102",20,4,4,0,3,3,0,1,1,0,0,0,0
"LA","6037700200",12,3,3,0,2,2,0,1,1,0,0,0,0
"LA","6037700300",2,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037700400",15,4,4,0,0,0,0,2,2,0,2,2,0
"LA","6037700600",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037700700",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037700801",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037700802",30,5,4,1,0,0,0,3,3,0,2,1,1
"LA","6037700901",40,8,8,0,3,3,0,3,3,0,2,2,0
"LA","6037700902",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037701000",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037701100",111,27,27,0,11,11,0,9,9,0,7,7,0
"LA","6037701201",4,2,2,0,1,1,0,1,1,0,0,0,0
"LA","6037701304",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037701601",2,1,1,0,0,0,0,1,1,0,0,0,0
"LA","6037701602",5,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037701701",9,4,4,0,2,2,0,1,1,0,1,1,0
