"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36005021002",97914.2857142857,160,6694,3762,1191,1785,1883,1622,373,1004,364,39.5,725,33525,653,2627,0,0,172,60,212,2038,1040,444,580,865,"NYC",117,25,9,0,25,0
"36047070202",7.96019900497513,16,0,8,0,4,4,8,0,0,0,54.5,0,28750,4,12,0,0,0,0,0,8,4,0,0,0,"NYC",556,139,4,0,139,0
"36047015900",51250,4239,886,2442,891,1388,1512,1143,191,391,135,38,354,76117,171,2215,0,51,226,527,2,483,1447,1506,153,235,"NYC",578,133,26,0,133,0
"36047015100",68933.3333333333,2703,1433,2249,967,1048,1356,602,163,163,123,35.5,287,69375,305,1529,12,17,168,275,103,329,910,1011,128,256,"NYC",178,30,11,0,30,0
"36005023600",56700,726,1542,1116,661,757,437,333,80,221,84,27.5,569,20814,269,514,0,6,127,7,145,551,91,52,150,772,"NYC",149,42,13,0,42,0
"36047005900",9978.57142857143,808,589,689,236,478,481,148,54,212,34,34.2,83,42316,34,396,6,95,77,142,26,262,432,158,101,326,"NYC",935,156,10,1,155,1
"36061012900",35893.75,3384,2359,2205,336,2529,2137,644,97,402,125,35,1214,89453,244,1872,0,181,1586,157,58,675,2058,1451,321,820,"NYC",2336,305,78,1,304,1
"36081001800",46057.1428571429,400,2824,1610,809,705,917,702,91,343,81,38.5,818,24744,481,914,0,0,50,4,307,786,335,62,118,437,"NYC",355,108,19,0,107,1
"36081085500",134080,376,6328,3818,1183,1193,2603,1274,451,561,299,42.5,3144,21728,932,1707,0,0,553,101,358,1843,893,256,147,1385,"NYC",321,77,40,0,77,0
"36085013201",8772.22222222222,1376,203,868,292,338,409,329,211,99,118,45.3,25,61087,474,238,0,0,6,8,40,436,227,141,60,76,"NYC",219,67,4,0,67,0
"36081037300",29588.8888888889,113,2550,1237,739,796,747,299,82,181,115,30.3,827,23197,432,735,0,4,54,12,139,767,234,67,40,395,"NYC",583,178,7,0,178,0
"36061018400",104085.714285714,358,6928,3879,1553,1836,2141,1281,475,957,374,36.9,438,25102,379,1844,0,0,306,60,430,1858,1015,263,319,2497,"NYC",419,153,34,2,151,2
"36081022002",55416.6666666667,2176,4474,3509,1337,1801,1815,1342,355,499,366,37.4,1684,37880,1111,2174,0,0,214,66,251,1505,1266,711,460,687,"NYC",496,135,14,0,134,1
"36047029100",48483.3333333333,450,2459,1639,513,1002,734,619,41,245,132,32.9,221,36005,248,1008,0,91,9,28,128,910,362,196,267,305,"NYC",222,67,10,0,67,0
"36047120000",38833.3333333333,48,2282,1093,688,532,689,349,72,154,59,32.9,468,31085,117,512,0,0,35,36,70,786,113,36,121,928,"NYC",254,89,20,0,89,0
"36047023300",70557.1428571429,1099,3840,2895,995,1580,1392,808,164,486,273,34.1,553,32488,252,1664,0,123,115,92,182,1048,718,449,403,1426,"NYC",373,128,13,0,128,0
"36005009300",7416.85393258427,65,6536,2745,1735,2172,1861,736,97,768,142,31,2016,22703,525,1107,0,0,381,91,562,1725,276,104,156,2365,"NYC",2512,662,61,3,657,5
"36005028700",52900,945,2229,1593,831,869,812,493,169,243,123,33.7,561,36583,344,673,0,0,157,74,132,908,486,196,115,763,"NYC",335,70,18,0,70,0
"36081049500",26860,755,588,741,321,299,375,287,61,107,70,39.6,143,44044,299,281,0,0,13,0,50,467,176,57,74,95,"NYC",232,55,2,0,55,0
"36047043800",43216.6666666667,1861,732,1294,609,679,584,588,133,285,77,35.2,517,26154,413,614,0,15,64,15,87,609,287,204,95,689,"NYC",501,136,20,1,134,2
"36047051601",138325,262,5271,3234,1218,1921,1254,977,163,588,171,31.3,1308,30793,491,1843,0,80,35,35,235,1559,650,208,195,983,"NYC",335,102,25,1,101,1
"36047021700",78120,929,2977,2219,992,1111,1042,558,203,453,121,33,530,43125,279,1439,0,18,146,83,57,654,792,491,101,703,"NYC",349,116,30,1,115,1
"36047048600",47142.8571428571,834,2466,1527,991,832,859,526,92,168,72,30,1086,21707,301,816,0,65,124,55,234,551,332,108,50,893,"NYC",300,95,24,0,95,0
"36047028100",79966.6666666667,358,4440,2723,1452,1429,1235,569,113,243,134,28.9,585,27158,173,1374,0,36,51,7,150,1363,296,118,366,2482,"NYC",276,111,22,0,111,0
"36081041500",57942.8571428571,606,3450,1993,1108,1143,1034,598,173,390,121,31.6,1413,21617,435,1031,0,28,162,44,204,1078,211,33,51,897,"NYC",220,42,4,0,42,0
"36005030900",7122.64150943396,2634,1141,2092,828,381,756,822,988,418,568,50.8,335,70194,604,470,0,53,31,136,122,692,627,798,104,105,"NYC",97,12,10,0,12,0
"36047053800",72350,3419,922,2320,958,844,1194,810,535,387,435,44.1,601,25496,743,769,0,0,229,85,157,837,694,403,221,1378,"NYC",431,128,52,0,128,0
"36081080302",20770.5882352941,760,2771,1822,571,982,717,958,303,231,113,41.2,699,40491,1066,560,0,0,0,7,192,1160,495,302,129,127,"NYC",557,128,11,0,128,0
"36061021303",96583.3333333333,829,4966,2806,927,1902,1916,880,170,607,168,35.8,1513,27094,175,2255,0,39,280,198,255,1541,1026,554,154,1908,"NYC",377,57,19,0,57,0
